refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR4478726	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1562	
SRR4478727	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1564	
SRR4478728	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1565	
SRR4478729	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1566	
SRR4478730	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1567	
SRR4478731	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1568	
SRR4478732	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1569	
SRR4478733	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1570	
SRR4478734	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1571	
SRR4478735	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1572	
SRR4478736	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 21 Control Pituitary 1573	
SRR4478737	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 40 Week Heat Stress Pituitary 1574	
SRR4478739	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 40 Week Heat Stress Pituitary 1576	
SRR4478740	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 40 Week Control Pituitary 1577	
SRR4478741	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 40 Week Control Pituitary 1578	
SRR4478742	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 40 Week Control Pituitary 1579	
